"Country_name","Year","GDP_per_capita","Death_rate","Diet_high_in_sodium","Diet_low_in_whole_grains","Alcohol_use","Diet_low_in_fruits","Diet_low_in_nuts_and_seeds","Diet_low_in_vegetables","Low_physical_activity","Drug_Use","High_body_mass_index"
"Tonga",2010,"5002.6323","6.605",19,22,9,15,2,12,15,7,104
"Trinidad and Tobago",2010,"27329.424","6.708",166,477,375,261,15,186,430,26,1936
"Tunisia",2010,"10477.304","5.329",563,4270,565,669,303,318,1338,300,8900
"Turkey",2010,"19790.068","5.251",2286,24427,3564,1386,1218,295,13668,837,62815
"Turkmenistan",2010,"8321.22","6.377",1090,2308,1740,666,1284,102,383,382,4657
"Tuvalu",2010,"3334.6072","9.988",4,5,1,3,0,3,2,1,17
"Uganda",2010,"1878.5209","8.832",2423,1420,13270,382,51,1540,240,233,4698
"Ukraine",2010,"12221.44","15.281",13288,64184,45812,24923,28838,5472,11646,10219,109372
"United Arab Emirates",2010,"54664.613","0.795",130,676,374,142,10,126,535,654,3414
"United Kingdom",2010,"42270.434","8.953",6050,19921,23437,9669,10415,5822,13644,4381,50021
"United States",2010,"54516.855","7.95",39877,89918,109066,35139,11042,25687,45576,62637,322489
"Uruguay",2010,"19331.85","9.369",721,1134,1572,435,403,422,376,234,2814
"Uzbekistan",2010,"4953.9614","6.395",7495,18560,7231,5416,9308,262,2497,2310,29607
"Vanuatu",2010,"2972.3171","6.056",61,74,31,39,6,49,15,13,240
"Vietnam",2010,"6324.526","6.193",27834,8857,35814,13632,692,4500,4198,7330,22137
"Zambia",2010,"3083.3552","9.219",1386,703,5413,1518,73,918,230,353,3180
"Zimbabwe",2010,"1799.5403","13.281",1009,1294,4939,1767,197,1240,288,1601,4970
